model,k,hit@10,ndcg@10,n_users
popularity,10,0.018796992481203006,0.009280946924056614,798
content,10,0.9398496240601504,0.578083221447948,798
cf,10,0.016290726817042606,0.007699669346183286,798
hybrid_0.0,10,0.9373433583959899,0.577016836282124,798
hybrid_0.1,10,0.9373433583959899,0.5774713545179354,798
hybrid_0.2,10,0.9360902255639098,0.5791079111656523,798
hybrid_0.3,10,0.9323308270676691,0.5781007484701763,798
hybrid_0.4,10,0.9298245614035088,0.5749969662288992,798
hybrid_0.5,10,0.9197994987468672,0.5667811757567889,798
hybrid_0.6,10,0.8984962406015038,0.5476080535066381,798
hybrid_0.7,10,0.8308270676691729,0.4936848849468378,798
hybrid_0.8,10,0.5300751879699248,0.30655305857248133,798
hybrid_0.9,10,0.12656641604010024,0.07195883372446733,798
hybrid_1.0,10,0.016290726817042606,0.007699669346183286,798
